,SET,PRDM2_PR,PrmA,PHD,PWWP,BAH,C5HCH,NSD_PHD,PHDvar_NSD,PHD-1st_NSD,PHD_2,Chromo,Tudor_2,WD40,KDM3B_Tudor,PWWP_KDM3B,MBT,JmjC,JmjN,MOZ_SAS,zf-MYST,Bromodomain,DPF1-3_N,Hist_deacetyl,Pkinase,Pkinase_C,PI3_PI4_kinase,AWS,DNMT3_ADD_GATA1-like,ADD_DNMT3,Helicase_C,SNF2-rel_dom,MBD_C,zf-CXXC,ARID,zf-C5HC2,HSA,WSD,DDT,zf-C2H2,Myb_DNA-binding,SWIRM,GATA,PRMT_C,BTB,Chromo_shadow,zf-HC5HC2H_2,MBDa,Pre-SET,ELM2,BRK,EPL1,UCH,zf-UBP,PLU-1,FYRC,FYRN,zf-HC5HC2H,KDM5_C-hel,ECH_1,BET,DUF7030,DUF1087,FATC,PAS,KDM6_C-hel,JHD,KDM6_GATAL,MTA_R1,Mtf2_C,FAT,RAWUL,HDAC4_Gln,PAS_11,zf-C3HC4_2,CHDCT2,zf-MYND,C1_1,CHDNT,PHD_4,CHDII_SANT-like,RRM_3,zf-CW,zf-FCS_1,RRM_1,RING_CBP-p300,SWIRM-assoc_3,SWIRM-assoc_1,SWIRM-assoc_2,Nuc_rec_co-act,SnAC,HAT_KAT11,SRC-1,N-SET,SAMD1_WH,zf-TAZ,MBD,AMPK_alpha_AID,La,KRAB,MIER1_3_C,AHD,SLIDE,BAF250_C,HATPase_c_3,Rubis-subs-bind,Homeodomain,KIX,Methyltransf_25,Morc6_S5,PRC2_HTH_1,AdenylateSensor,Amino_oxidase,CDH1_2_SANT_HL1,EHMT1-2_CRR,zf-C2H2_6,CHD1-like_C,DNA_methylase,EZH2_WD-Binding,Ezh2_MCSS,E_Pc_C,WAC_Acf1_DNA_bd,Tudor-knot,DUF3512,UCH_C,C2,CAF1C_H4-bd,DUF1518,PHD_5,Creb_binding,Peptidase_C12,TIP49,TIP49_C,P66_CC,PAD,TPR_8,HAND,BRD4_CDT,Caudal_act,Tet_JBP,ZZ,QLQ,F-box-like,YEATS,PAD_M,PAD_N,preSET_CXC
PHD_2,,,,,37.5,,,,,,,,37.5,,,,,37.5,37.5,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromo,8.7,,,13.0,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,39.1,39.1,,,,,,,,,,,,,,13.0,,,8.7,,13.0,,,,,,,,,17.4,,,13.0,,,,,,,,,,,,,13.0,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudor_2,,,,50.0,,,,,,,50.0,,50.0,,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD40,,,,,,,,,,,,,,90.8,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,1.5,,,,
KDM3B_Tudor,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWWP_KDM3B,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBT,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JmjC,,,,33.3,,,,,,,14.3,,14.3,,14.3,14.3,,,47.6,,,,,,,,,,,,,,,,23.8,23.8,,,,,,,,,,,14.3,,,,,,,,19.0,,,,19.0,,,14.3,,,,14.3,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,
JmjN,,,,40.0,,,,,,,30.0,,30.0,,,,,100.0,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,,,,30.0,,,,,,,,40.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ_SAS,,,,40.0,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
zf-MYST,,,,40.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
Bromodomain,3.1,,,25.0,15.6,6.2,,,,,9.4,,,3.1,,,,,,,,28.1,,,,,,3.1,,,6.2,6.2,,,,,6.2,12.5,9.4,,,,,,,,9.4,,,,6.2,9.4,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,6.2,6.2,,,3.1,6.2,3.1,,,,,,,,,,,6.2,,,,,,,,,,,,,,6.2,,6.2,,,,,3.1,6.2,,,,,,,,6.2,,,6.2,6.2,,,,,
DPF1-3_N,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist_deacetyl,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pkinase,,,,,,,,,,,,,,,,,,,,,,,,,10.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,
Pkinase_C,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,
PI3_PI4_kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWS,100.0,,,40.0,60.0,20.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
DNMT3_ADD_GATA1-like,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD_DNMT3,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicase_C,,,,4.5,,,,,,,,13.6,,,,,,,,,,3.0,,,,,,,,,1.5,48.5,,,,,6.1,,,,,,,,,,,,,,7.6,,,,,,,,,,,,4.5,,,,,,,,,,,,1.5,4.5,,,4.5,,4.5,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,
SNF2-rel_dom,,,,9.4,,,,,,,,28.1,,,,,,,,,,6.2,,,,,,,,,100.0,,,,,,12.5,,,,,,,,,,,,,,15.6,,,,,,,,,,,,9.4,,,,,,,,,,,,3.1,9.4,,,9.4,,9.4,,,,,,,,,,6.2,,,,,,,,,,,,6.2,,,,,,,,,,,6.2,,,6.2,,,,,,,,,,,,,,,,,,,,6.2,,,,,6.2,,,,,
MBD_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zf-CXXC,16.7,,,25.0,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,16.7,16.7,16.7,,,,,,,,,16.7,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,16.7,,,16.7,,,,
ARID,,,,50.0,,,,,,,,,,,,,,62.5,62.5,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,50.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zf-C5HC2,,,,80.0,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,80.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSA,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,
WSD,,,,100.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
DDT,,,,100.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,
zf-C2H2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,0.3,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myb_DNA-binding,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,22.2,16.7,,,,,,,38.9,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,11.1,11.1,11.1,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,
SWIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,33.3,33.3,33.3,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATA,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,46.2,,,,,,,23.1,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,
PRMT_C,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromo_shadow,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zf-HC5HC2H_2,20.0,,,20.0,30.0,,,,,,80.0,,30.0,,,,,30.0,30.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBDa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-SET,100.0,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELM2,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK,,,,,,,,,,,,60.0,,,,,,,,,,40.0,,,,,,,,,100.0,100.0,,,,,40.0,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,
EPL1,,,,,42.9,,,,,,71.4,,,,,,,,,,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,
UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zf-UBP,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLU-1,,,,100.0,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYRC,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,40.0,,,,,,,,,,100.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYRN,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,40.0,,,,,,,,,100.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zf-HC5HC2H,80.0,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,40.0,,,,,,,,,80.0,80.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM5_C-hel,,,,100.0,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECH_1,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BET,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,
DUF7030,,,,,,,,,,,,,,,100.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUF1087,,,,100.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FATC,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,,,,,,,,16.7,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,
KDM6_C-hel,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,
JHD,,,,60.0,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
