,SET,PRDM2_PR,PrmA,PHD,PWWP,BAH,C5HCH,NSD_PHD,PHDvar_NSD,PHD-1st_NSD,PHD_2,Chromo,Tudor_2,WD40,KDM3B_Tudor,PWWP_KDM3B,MBT,JmjC,JmjN,MOZ_SAS,zf-MYST,Bromodomain,Hist_deacetyl,Pkinase,Pkinase_C,AWS,DNMT3_ADD_GATA1-like,ADD_DNMT3,Helicase_C,SNF2-rel_dom,zf-CXXC,ARID,zf-C5HC2,HSA,WSD,DDT,zf-C2H2,Myb_DNA-binding,SWIRM,GATA,PRMT_C,BTB,Chromo_shadow
DNMT3_ADD_GATA1-like,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,
ADD_DNMT3,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,
Helicase_C,,,,4.5,,,,,,,,13.6,,,,,,,,,,3.0,,,,,,,1.5,48.5,,,,6.1,,,,,,,,,
SNF2-rel_dom,,,,9.4,,,,,,,,28.1,,,,,,,,,,6.2,,,,,,,100.0,,,,,12.5,,,,,,,,,
zf-CXXC,16.7,,,25.0,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,
ARID,,,,50.0,,,,,,,,,,,,,,62.5,62.5,,,,,,,,,,,,,,62.5,,,,,,,,,,
zf-C5HC2,,,,80.0,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,
HSA,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,100.0,100.0,,,,,,,,,,,,,
WSD,,,,100.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,75.0,,,,,,,
DDT,,,,100.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,
zf-C2H2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,,,6.5,
Myb_DNA-binding,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,22.2,16.7,,,
SWIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,
GATA,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,46.2,,,
PRMT_C,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,
BTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,
Chromo_shadow,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
