# Supplementary Table ST16. Pfam domain models that are present in three or more chromatin/epigenetic regulator proteins.,,,,,,,,,,,
pfamA_id,pfamA_acc,pfamA_name,domain functional subgroup ,domain functional group ,SimChrom-SL ChromReg ,number of SimChrom proteins,number of ChromReg proteins,number of co-ocurring Pfam domain models in SimChrom proteins,number of co-ocurring Pfam domain models in ChromReg proteins,"number of SimChrom proteins, where the Pfam domain models co-occurs with other domain models","number of ChromReg proteins, where the Pfam domain models co-occurs with other domain models"
PF08074,CHDCT2,CHDCT2 (NUC038) domain,Other,Other,Chromatin remodelers,3,3,7,7,3,3
PF00400,WD40,"WD domain, G-beta repeat",Histone binding,Histone binding,Other,65,10,41,6,65,10
PF02928,zf-C5HC2,C5HC2 zinc finger,DNA binding,DNA binding,Histone PTM erasers,5,5,6,6,5,5
PF05964,FYRN,F/Y-rich N-terminus,PPI,PPI,Histone PTM writers,5,4,6,6,5,4
PF05965,FYRC,F/Y rich C-terminus,PPI,PPI,Histone PTM writers,5,4,6,6,5,4
PF13771,zf-HC5HC2H,PHD-like zinc-binding domain,Other,Other,Histone PTM writers,5,4,7,6,4,4
PF08429,PLU-1,PLU-1-like protein,Other,Other,Histone PTM erasers,4,4,6,6,4,4
PF21323,KDM5_C-hel,,Other,Other,Histone PTM erasers,4,4,6,6,4,4
PF00989,PAS,PAS fold,Other,Other,Other,18,3,10,6,15,3
PF14598,PAS_11,PAS domain,Other,Other,Histone PTM writers,11,3,8,6,11,3
PF21549,PRDM2_PR,,"Histone methylation, writer",Histone methylation,Histone modification,13,8,6,5,13,8
PF10513,EPL1,Enhancer of polycomb-like,Other,Other,Histone modification,7,7,5,5,7,7
PF00433,Pkinase_C,Protein kinase C terminal domain,"Histone phosphorylation, writer",Histone phosphorylation,Histone PTM writers,6,6,5,5,6,6
PF01448,ELM2,ELM2 domain,Other,Other,Histone modification,7,6,6,5,7,6
PF00076,RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RNA binding,RNA binding,Other,78,5,35,5,78,5
PF00320,GATA,GATA zinc finger,DNA binding,DNA binding,Other,13,5,7,5,5,5
PF01853,MOZ_SAS,MOZ/SAS family,"Histone acetylation, writer",Histone acetylation,Histone PTM writers,5,5,5,5,5,5
PF17772,zf-MYST,MYST family zinc finger domain,"Histone acetylation, writer",Histone acetylation,Histone PTM writers,5,5,5,5,5,5
PF07496,zf-CW,CW-type Zinc Finger,DNA binding,DNA binding,Other,6,5,5,5,6,5
PF15613,WSD,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif",DNA binding,DNA binding,Histone PTM readers,4,4,5,5,4,4
PF13181,TPR_8,Tetratricopeptide repeat,Other,Other,Other,9,3,10,5,3,3
PF00130,C1_1,Phorbol esters/diacylglycerol binding domain (C1 domain),Other,Other,Histone PTM writers,3,3,5,5,3,3
PF02791,DDT,DDT domain,DNA binding,DNA binding,Histone PTM readers,3,3,5,5,3,3
PF21524,SAMD1_WH,,DNA binding,DNA binding,Histone PTM writers,3,3,5,5,3,3
PF16866,PHD_4,PHD-finger,Other,Other,Histone PTM erasers,3,3,5,5,3,3
PF00443,UCH,Ubiquitin carboxyl-terminal hydrolase,Other,Other,Other,14,7,9,4,9,6
PF06325,PrmA,Ribosomal protein L11 methyltransferase (PrmA),"Histone methylation, writer",Histone methylation,Histone PTM writers,5,5,4,4,5,5
PF01352,KRAB,KRAB box,DNA binding,DNA binding,Other,326,3,11,4,325,3
PF17226,MTA_R1,MTA R1 domain,PPI,PPI,Chromatin remodelers,3,3,4,4,3,3
PF21255,DNMT3_ADD_GATA1-like,,Histone binding,Histone binding,DNA de_methylation,3,3,4,4,3,3
PF17980,ADD_DNMT3,Cysteine rich ADD domain in DNMT3,Histone binding,Histone binding,DNA de_methylation,3,3,4,4,3,3
PF00850,Hist_deacetyl,Histone deacetylase domain,"Histone acetylation, eraser",Histone acetylation,Histone PTM erasers,11,11,3,3,11,11
PF00046,Homeodomain,Homeodomain,DNA binding,DNA binding,Other,210,4,25,3,19,4
PF21326,KDM6_GATAL,,Other,Other,Histone PTM erasers,3,3,3,3,3,3
PF21322,KDM6_C-hel,,Other,Other,Histone PTM erasers,3,3,3,3,3,3
PF02820,MBT,mbt repeat,"Histone methylation, reader",Histone methylation,Histone PTM readers,3,3,3,3,3,3
PF22987,KDM3B_Tudor,,"Histone methylation, reader",Histone methylation,Histone PTM erasers,3,3,3,3,3,3
PF22988,PWWP_KDM3B,,"Histone methylation, reader",Histone methylation,Histone PTM erasers,3,3,3,3,3,3
PF22989,DUF7030,,Other,Other,Histone PTM erasers,3,3,3,3,3,3
PF11717,Tudor-knot,RNA binding activity-knot of a chromodomain,RNA binding,RNA binding,Histone PTM writers,3,3,3,3,3,3
PF14048,MBD_C,C-terminal domain of methyl-CpG binding protein 2 and 3,DNA methylation,DNA methylation,Methylated DNA binding,8,8,2,2,8,8
PF16564,MBDa,p55-binding region of Methyl-CpG-binding domain proteins MBD,PPI,PPI,Methylated DNA binding,8,8,2,2,8,8
PF02148,zf-UBP,Zn-finger in ubiquitin-hydrolases and other protein,Other,Other,Histone PTM erasers,8,6,2,2,8,6
PF00651,BTB,BTB/POZ domain,Dimerization/oligomerization,Dimerization/oligomerization,Methylated DNA binding,52,4,10,2,39,3
PF17035,BET,Bromodomain extra-terminal - transcription regulation,Other,Other,Histone PTM readers,4,4,2,2,4,4
PF16207,RAWUL,RAWUL domain RING finger- and  WD40-associated ubiquitin-like,Other,Other,Other,6,4,2,2,6,4
PF14061,Mtf2_C,Polycomb-like MTF2 factor 2,Other,Other,Histone PTM readers,3,3,2,2,3,3
PF02513,Spin-Ssty,Spin/Ssty Family,Other,Other,Histone PTM readers,5,5,1,1,5,5
PF00378,ECH_1,Enoyl-CoA hydratase/isomerase,Other,Other,Histone PTM writers,4,4,1,1,4,4
PF01753,zf-MYND,MYND finger,Other,Other,Histone PTM writers,4,3,2,1,3,3
PF01393,Chromo_shadow,Chromo shadow domain,Dimerization/oligomerization,Dimerization/oligomerization,Histone PTM readers,3,3,1,1,3,3
PF12203,HDAC4_Gln,Glutamine rich N terminal domain of histone deacetylase 4,Other,Other,Histone PTM erasers,3,3,1,1,3,3
PF14051,DPF1-3_N,"DPF1-3, N-terminal",Other,Other,Chromatin remodelers,3,3,1,1,3,3
