"# Supplementary Table ST11. A list of SimChrom-SL proteins annotated with ""RNA processing"" category that are uniquely localized in the nucleus (NULOC_CS_UL).",,,,,,,,
Gene,Entry,Protein names,UniProt_f,HPA_f,OpenCell_f,SimChrom-SL,MS-based studies,"Abundance (PaxDB_PA), ppm"
DDX41,Q9UJV9,Probable ATP-dependent RNA helicase DDX41,Nucleus (ECO:0000269),"Nucleoli (Approved), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","17,5"
RBM5,P52756,RNA-binding protein 5,Nucleus (ECO:0000269),Nucleoplasm (Enhanced),chromatin (annotations_grade_3),RNA processing,"Alvarez et al., 2023; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023",18
NUP155,O75694,Nuclear pore complex protein Nup155,"Nuclear pore complex (ECO:0000250), Nucleus membrane (ECO:0000250)",Nuclear membrane (Enhanced),nuclear_membrane (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","47,3"
PPIG,Q13427,Peptidyl-prolyl cis-trans isomerase G,"Nucleus matrix (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Supported),,RNA processing,"Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","48,3"
PRPF40A,O75400,Pre-mRNA-processing factor 40 homolog A (HIP-10),"Nucleus matrix (ECO:0000269), Nucleus speckle (ECO:0000250)",Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","51,7"
HTATSF1,O43719,HIV Tat-specific factor 1 (Tat-SF1),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","84,2"
PAF1,Q8N7H5,RNA polymerase II-associated factor 1 homolog (hPAF1),Nucleus (ECO:0000269),"Nucleoli fibrillar center (Supported), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","25,4"
KHDRBS3,O75525,"KH domain-containing, RNA-binding, signal transduction-associated protein 3 (SLM-2)",Nucleus (ECO:0000269),Nucleoplasm (Supported),,RNA processing,"Alvarez et al., 2023; Ugur et al., 2023","16,2"
DBR1,Q9UK59,Lariat debranching enzyme,Nucleus (ECO:0000305),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014","20,9"
CSTF1,Q05048,Cleavage stimulation factor subunit 1 (CstF-50),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","39,6"
SCAF11,Q99590,Protein SCAF11 (SRrp129),Nucleus (ECO:0000269),"Nuclear bodies (Supported), Nucleoli (Supported), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","16,9"
DHX8,Q14562,ATP-dependent RNA helicase DHX8,Nucleus (ECO:0000269),"Nuclear bodies (Approved), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","9,28"
PRPF3,O43395,U4/U6 small nuclear ribonucleoprotein Prp3 (hPrp3),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","40,6"
DROSHA,Q9NRR4,Ribonuclease 3,"Nucleolus (ECO:0000269), Nucleus (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","1,77"
SRSF4,Q08170,Serine/arginine-rich splicing factor 4 (SRP001LB),Nucleus speckle (ECO:0000269),Nuclear speckles (Supported),,RNA processing,"Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023",126
RPRD1B,Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,Nucleus (ECO:0000269),Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","95,2"
SRSF9,Q13242,Serine/arginine-rich splicing factor 9,Nucleus (ECO:0000269),"Nucleoli (Approved), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",246
PUF60,Q9UHX1,Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (RoBP1) (Siah-BP1),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011",183
SNRPA1,P09661,U2 small nuclear ribonucleoprotein A',Nucleus (ECO:0000269),"Nuclear bodies (Supported), Nuclear speckles (Supported), Nucleoplasm (Supported)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011",191
PRPF6,O94906,Pre-mRNA-processing factor 6 (ANT-1),"Nucleoplasm (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","46,6"
PRPF4,O43172,U4/U6 small nuclear ribonucleoprotein Prp4 (hPrp4),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000305)",Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","44,2"
CDC40,O60508,Pre-mRNA-processing factor 17 (Ehb3) (hPRP17),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","14,9"
SNRNP40,Q96DI7,U5 small nuclear ribonucleoprotein 40 kDa protein (U5-40K) (hPRP8BP),Nucleus (ECO:0000269),Nuclear speckles (Supported),chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","99,2"
SRSF6,Q13247,Serine/arginine-rich splicing factor 6,"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011",265
SF3A1,Q15459,Splicing factor 3A subunit 1 (SF3a120),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear speckles (Enhanced), Nucleoplasm (Enhanced)",chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",149
SF3B5,Q9BWJ5,Splicing factor 3B subunit 5 (SF3b5),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Shi et al., 2021",104
SF3A2,Q15428,Splicing factor 3A subunit 2 (SF3a66),"Nucleus (ECO:0000255), Nucleus (ECO:0000269)",Nucleoplasm (Approved),"chromatin (annotations_grade_3), nuclear_punctae (annotations_grade_3)",RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","91,9"
PRPF8,Q6P2Q9,Pre-mRNA-processing-splicing factor 8 (p220),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000305)",Nucleoplasm (Supported),chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","87,9"
SF3B2,Q13435,Splicing factor 3B subunit 2 (SF3b145),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Enhanced),chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",166
THRAP3,Q9Y2W1,Thyroid hormone receptor-associated protein 3 (Trap150),"Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023",221
MTREX,P42285,Exosome RNA helicase MTR4,"Nucleolus (ECO:0000269), Nucleoplasm (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Ugur et al., 2023","58,9"
TCERG1,O14776,Transcription elongation regulator 1,Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","76,4"
PPIL1,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase),Nucleus (ECO:0000269),Nucleoli (Supported),,RNA processing,"Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021",115
RBM17,Q96I25,Splicing factor 45,Nucleus (ECO:0000269),Nucleoplasm (Supported),"chromatin (annotations_grade_3), nucleoplasm (annotations_grade_2)",RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","68,1"
SRRM1,Q8IYB3,Serine/arginine repetitive matrix protein 1 (SRm160),"Nucleus matrix (ECO:0000269), Nucleus speckle (ECO:0000269)",Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",283
XRN2,Q9H0D6,5'-3' exoribonuclease 2,Nucleolus (ECO:0000269),"Nucleoli (Enhanced), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","63,6"
SUGP2,Q8IX01,SURP and G-patch domain-containing protein 2,Nucleus (ECO:0000305),"Nuclear bodies (Enhanced), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","22,9"
PRPF31,Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31 (hPrp31),"Cajal body (ECO:0000269), Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","70,5"
WBP4,O75554,WW domain-binding protein 4 (WBP-4),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000255), Nucleus speckle (ECO:0000269)",Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021","4,12"
HNRNPA3,P51991,Heterogeneous nuclear ribonucleoprotein A3,Nucleus (ECO:0000250),Nucleoplasm (Approved),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",728
U2AF1,Q01081,Splicing factor U2AF 35 kDa subunit,"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)",Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","97,7"
SF3B3,Q15393,Splicing factor 3B subunit 3 (SF3b130) (STAF130),Nucleus (ECO:0000269),"Nucleoli (Supported), Nucleoli rim (Supported), Nucleoplasm (Supported)",chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",133
ZRANB2,O95218,Zinc finger Ran-binding domain-containing protein 2,Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021",144
SNRNP200,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,Nucleus (ECO:0000269),Nucleoplasm (Supported),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","92,5"
SF3A3,Q12874,Splicing factor 3A subunit 3 (SF3a60),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear speckles (Supported), Nucleoplasm (Approved)",chromatin (annotations_grade_3),RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",132
SMNDC1,O75940,Survival of motor neuron-related-splicing factor 30,"Cajal body (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear bodies (Supported), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","66,4"
WDR33,Q9C0J8,pre-mRNA 3' end processing protein WDR33,Nucleus (ECO:0000269),"Nucleoli fibrillar center (Enhanced), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023",14
PHF5A,Q7RTV0,PHD finger-like domain-containing protein 5A (SF3b14b),"Nucleus (ECO:0000269), Nucleus speckle (ECO:0000250)",Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Shi et al., 2021; Torrente et al., 2011","97,9"
TRA2B,P62995,Transformer-2 protein homolog beta (TRA2-beta) (hTRA2-beta),Nucleus (ECO:0000269),Nucleoplasm (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023",255
SF3B4,Q15427,Splicing factor 3B subunit 4,Nucleus (ECO:0000269),Nuclear speckles (Approved),"chromatin (annotations_grade_3), cytoplasmic (annotations_grade_2), nucleoplasm (annotations_grade_3)",RNA processing,"Alvarez et al., 2023; Shi et al., 2021; Torrente et al., 2011","53,9"
SON,P18583,Protein SON (BASS1) (SON3),Nucleus speckle (ECO:0000269),Nuclear speckles (Enhanced),,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","48,9"
TOE1,Q96GM8,Target of EGR1 protein 1,"Nucleolus (ECO:0000269), Nucleus speckle (ECO:0000269)","Nuclear bodies (Enhanced), Nucleoplasm (Enhanced)",,RNA processing,"Alabert et al., 2014; Alvarez et al., 2023; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","14,9"
